,Animal,COM,Condition,Group,Time,,Animal,COM,Condition,Group,Time
0,0,"1,177",0,0,0,,0,"1,373",0,0,10
1,0,"0,488",0,0,1,,0,"1,863",0,0,20
2,0,"0,61",0,0,2,,0,"1,136",0,0,30
3,0,"0,951",0,0,3,,0,"3,025",1,0,40
4,0,"0,792",0,0,4,,0,"2,879",1,0,50
5,0,"0,806",0,0,5,,0,"2,894",1,0,60
6,0,"0,961",0,0,6,,1,"1,196",0,0,10
7,0,"1,691",0,0,7,,1,"0,709",0,0,20
8,0,"3,255",0,0,8,,1,"1,838",0,0,30
9,0,3,0,0,9,,1,"2,292",1,0,40
10,0,"2,32",0,0,10,,1,"2,342",1,0,50
11,0,"2,705",0,0,11,,1,"5,655",1,0,60
12,0,"3,737",0,0,12,,3,"0,355",0,1,10
13,0,"1,847",0,0,13,,3,"0,035",0,1,20
14,0,"1,472",0,0,14,,3,"0,111",0,1,30
15,0,"1,363",0,0,15,,3,"0,237",1,1,40
16,0,"1,329",0,0,16,,3,"0,930",1,1,50
17,0,"1,526",0,0,17,,3,"1,424",1,1,60
18,0,"1,267",0,0,18,,4,"0,642",0,1,10
19,0,"1,065",0,0,19,,4,"0,219",0,1,20
20,0,"1,011",0,0,20,,4,"0,734",0,1,30
21,0,"1,287",0,0,21,,4,"0,277",1,1,40
22,0,"1,11",0,0,22,,4,"0,215",1,1,50
23,1,"0,836",0,0,0,,4,"0,024",1,1,60
24,1,"1,074",0,0,1,,,,,,
25,1,"0,818",0,0,2,,,,,,
26,1,"0,975",0,0,3,,,,,,
27,1,"1,369",0,0,4,,,,,,
28,1,"1,276",0,0,5,,,,,,
29,1,"0,969",0,0,6,,,,,,
30,1,"0,976",0,0,7,,,,,,
31,1,"1,425",0,0,8,,,,,,
32,1,"2,246",0,0,9,,,,,,
33,1,"0,469",0,0,10,,,,,,
34,1,"0,51",0,0,11,,,,,,
35,1,"1,106",0,0,12,,,,,,
36,1,"0,938",0,0,13,,,,,,
37,1,"0,522",0,0,14,,,,,,
38,1,"0,744",0,0,15,,,,,,
39,1,"0,858",0,0,16,,,,,,
40,1,"0,657",0,0,17,,,,,,
41,1,"0,626",0,0,18,,,,,,
42,1,"0,662",0,0,19,,,,,,
43,1,"0,617",0,0,20,,,,,,
44,1,"0,64",0,0,21,,,,,,
45,1,"0,922",0,0,22,,,,,,
46,1,"0,775",0,0,23,,,,,,
47,1,"1,4",0,0,24,,,,,,
48,1,"1,828",0,0,25,,,,,,
49,1,"1,597",0,0,26,,,,,,
50,1,"1,475",0,0,27,,,,,,
51,1,"1,537",0,0,28,,,,,,
52,1,"1,749",0,0,29,,,,,,
53,0,"6,458",1,1,29,,,,,,
54,0,"5,803",1,1,30,,,,,,
55,0,"2,406",1,1,31,,,,,,
56,0,"3,716",1,1,32,,,,,,
57,0,"3,111",1,1,33,,,,,,
58,0,"1,257",1,1,34,,,,,,
59,0,"2,037",1,1,35,,,,,,
60,0,"3,346",1,1,36,,,,,,
61,0,"2,525",1,1,37,,,,,,
62,0,"2,754",1,1,38,,,,,,
63,0,"3,295",1,1,39,,,,,,
64,0,"3,137",1,1,40,,,,,,
65,0,"2,364",1,1,41,,,,,,
66,0,"3,161",1,1,42,,,,,,
67,0,"2,439",1,1,43,,,,,,
68,0,"3,637",1,1,44,,,,,,
69,0,"2,573",1,1,45,,,,,,
70,0,"2,544",1,1,46,,,,,,
71,0,"2,891",1,1,47,,,,,,
72,0,"2,854",1,1,48,,,,,,
73,0,"3,186",1,1,49,,,,,,
74,0,"3,461",1,1,50,,,,,,
75,0,"2,327",1,1,51,,,,,,
76,1,"1,624",1,1,29,,,,,,
77,1,"1,404",1,1,30,,,,,,
78,1,"2,1",1,1,31,,,,,,
79,1,"4,091",1,1,32,,,,,,
80,1,"2,51",1,1,33,,,,,,
81,1,"3,726",1,1,34,,,,,,
82,1,"1,97",1,1,35,,,,,,
83,1,"1,022",1,1,36,,,,,,
84,1,"2,505",1,1,37,,,,,,
85,1,"1,966",1,1,38,,,,,,
86,1,"0,898",1,1,39,,,,,,
87,1,"1,486",1,1,40,,,,,,
