,Animal,Condition,Group,Hunch,Time
0,0,0,0,12.358,0.0
1,0,0,0,11.306,1.0
2,0,0,0,9.119,2.0
3,0,0,0,8.872,3.0
4,0,0,0,7.378,4.0
5,0,0,0,6.043,5.0
6,0,0,0,8.873,6.0
7,0,0,0,9.922,7.0
8,0,0,0,13.395,8.0
9,0,0,0,11.913,9.0
10,0,0,0,10.813,10.0
11,0,0,0,11.737,11.0
12,0,0,0,11.914,12.0
13,0,0,0,9.675,13.0
14,0,0,0,8.966,14.0
15,0,0,0,7.314,15.0
16,0,0,0,7.878,16.0
17,0,0,0,10.198,17.0
18,0,0,0,10.099,18.0
19,0,0,0,8.081,19.0
20,0,0,0,9.652,20.0
21,0,0,0,9.829,21.0
22,0,0,0,8.69,22.0
23,1,0,0,12.481,0.0
24,1,0,0,10.584,1.0
25,1,0,0,11.806,2.0
26,1,0,0,10.348,3.0
27,1,0,0,12.172,4.0
28,1,0,0,12.644,5.0
29,1,0,0,13.385,6.0
30,1,0,0,12.739,7.0
31,1,0,0,12.296,8.0
32,1,0,0,13.924,9.0
33,1,0,0,12.366,10.0
34,1,0,0,12.463,11.0
35,1,0,0,12.928,12.0
36,1,0,0,9.752,13.0
37,1,0,0,9.847,14.0
38,1,0,0,8.579,15.0
39,1,0,0,7.723,16.0
40,1,0,0,7.904,17.0
41,1,0,0,7.81,18.0
42,1,0,0,8.191,19.0
43,1,0,0,7.586,20.0
44,1,0,0,7.932,21.0
45,1,0,0,8.879,22.0
46,1,0,0,7.197,23.0
47,1,0,0,12.233,24.0
48,1,0,0,13.5,25.0
49,1,0,0,12.183,26.0
50,1,0,0,11.285,27.0
51,1,0,0,8.889,28.0
52,1,0,0,10.304,29.0
53,0,1,1,25.0,29.0
54,0,1,1,25.0,30.0
55,0,1,1,14.935,31.0
56,0,1,1,17.231,32.0
57,0,1,1,12.383,33.0
58,0,1,1,10.266,34.0
59,0,1,1,10.939,35.0
60,0,1,1,10.766,36.0
61,0,1,1,10.368,37.0
62,0,1,1,9.693,38.0
63,0,1,1,10.35,39.0
64,0,1,1,9.991,40.0
65,0,1,1,10.304,41.0
66,0,1,1,11.748,42.0
67,0,1,1,9.473,43.0
68,0,1,1,12.386,44.0
69,0,1,1,11.747,45.0
70,0,1,1,12.835,46.0
71,0,1,1,14.847,47.0
72,0,1,1,9.665,48.0
73,0,1,1,10.931,49.0
74,0,1,1,10.741,50.0
75,0,1,1,10.835,51.0
76,1,1,1,11.276,29.0
77,1,1,1,13.232,30.0
78,1,1,1,14.278,31.0
79,1,1,1,19.4,32.0
